generation,iterations,sad,frobenius,mutation_type,generation_type,distribution,city_size,range
iteration_0,0.0,0.0,0.0,swap,asymmetric,lognormal,30.0,1.6
iteration_1,277.0,0.0,0.0,swap,asymmetric,lognormal,30.0,1.6
iteration_5,287.0,54656.0,38647.62823253194,swap,asymmetric,lognormal,30.0,1.6
iteration_8,643.0,126728.0,63959.5634756836,swap,asymmetric,lognormal,30.0,1.6
iteration_9,644.0,167432.0,70137.24807832141,swap,asymmetric,lognormal,30.0,1.6
iteration_10,646.0,220456.0,79529.90541928237,swap,asymmetric,lognormal,30.0,1.6
iteration_23,699.0,528462.0,231859.55635686012,swap,asymmetric,lognormal,30.0,1.6
iteration_30,714.0,835866.0,317816.7136605625,swap,asymmetric,lognormal,30.0,1.6
iteration_32,715.0,1234794.0,424946.1590295881,swap,asymmetric,lognormal,30.0,1.6
iteration_35,1284.0,1463434.0,454661.81154128176,swap,asymmetric,lognormal,30.0,1.6
iteration_36,1618.0,1704284.0,485511.81666773057,swap,asymmetric,lognormal,30.0,1.6
iteration_37,1715.0,1705746.0,485512.91728027177,swap,asymmetric,lognormal,30.0,1.6
iteration_45,1717.0,1762406.0,487163.1868747884,swap,asymmetric,lognormal,30.0,1.6
iteration_60,1762.0,1764802.0,487166.1329095035,swap,asymmetric,lognormal,30.0,1.6
iteration_65,1763.0,2254180.0,597558.5782967223,swap,asymmetric,lognormal,30.0,1.6
iteration_70,1765.0,2312978.0,599003.2194387607,swap,asymmetric,lognormal,30.0,1.6
last,,2325720.0,599070.977581121,swap,asymmetric,lognormal,30.0,1.6
iteration_0,0.0,0.0,0.0,inplace,asymmetric,lognormal,30.0,1.8
iteration_1,705.0,0.0,0.0,inplace,asymmetric,lognormal,30.0,1.8
iteration_4,733.0,51039.0,51039.0,inplace,asymmetric,lognormal,30.0,1.8
iteration_7,831.0,120633.0,86303.55935301857,inplace,asymmetric,lognormal,30.0,1.8
iteration_12,860.0,140611.0,88585.69207834863,inplace,asymmetric,lognormal,30.0,1.8
iteration_17,1094.0,145315.0,88710.49800897298,inplace,asymmetric,lognormal,30.0,1.8
iteration_25,1095.0,149990.0,88833.59770942523,inplace,asymmetric,lognormal,30.0,1.8
iteration_40,1112.0,303144.0,177052.4097492039,inplace,asymmetric,lognormal,30.0,1.8
iteration_41,1137.0,328028.0,178792.53131492937,inplace,asymmetric,lognormal,30.0,1.8
iteration_43,1374.0,340046.0,179195.98650081424,inplace,asymmetric,lognormal,30.0,1.8
iteration_51,1392.0,602290.0,317621.02750605164,inplace,asymmetric,lognormal,30.0,1.8
last,,641443.0,320025.11545658414,inplace,asymmetric,lognormal,30.0,1.8
iteration_0,0.0,0.0,0.0,swap,euclidean,lognormal,20.0,4.8
last,,0.0,0.0,swap,euclidean,lognormal,20.0,4.8
iteration_0,0.0,0.0,0.0,inplace,euclidean,lognormal,30.0,3.8
last,,0.0,0.0,inplace,euclidean,lognormal,30.0,3.8
iteration_0,0.0,0.0,0.0,swap,euclidean,lognormal,30.0,4.8
iteration_1,2664870.0,0.0,0.0,swap,euclidean,lognormal,30.0,4.8
last,,80.0,40.0,swap,euclidean,lognormal,30.0,4.8
iteration_0,0.0,0.0,0.0,inplace,euclidean,lognormal,30.0,4.6
last,,0.0,0.0,inplace,euclidean,lognormal,30.0,4.6
iteration_0,0.0,0.0,0.0,swap,euclidean,lognormal,30.0,2.0
last,,0.0,0.0,swap,euclidean,lognormal,30.0,2.0
iteration_0,0.0,0.0,0.0,inplace,euclidean,lognormal,20.0,4.0
iteration_1,298297.0,0.0,0.0,inplace,euclidean,lognormal,20.0,4.0
last,,4022314.0,2844205.5054615866,inplace,euclidean,lognormal,20.0,4.0
iteration_0,0.0,0.0,0.0,swap,euclidean,lognormal,30.0,4.4
last,,0.0,0.0,swap,euclidean,lognormal,30.0,4.4
